Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance,Q1 Balance,Q2 Balance,Q3 Balance,Q4 Balance
175,No,Points,Letter,Low,1,No,Medium,2,1,4,No,1016.5,1889,1436,510,231
176,No,Cash Back,Letter,Medium,2,No,High,3,1,5,Yes,287.75,238,442,17,454
177,No,Cash Back,Letter,Low,1,No,Low,3,1,6,No,841.25,100,1023,993,1249
178,No,Cash Back,Postcard,Medium,1,No,Low,3,2,6,Yes,911.75,1619,1282,676,70
179,No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1190.25,945,774,1132,1910
180,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,924,104,1190,1301,1101
181,No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,823.75,586,995,822,892
182,No,Points,Postcard,Medium,1,No,High,3,1,4,No,1006,310,1456,1850,408
183,No,Points,Letter,Low,1,No,Low,1,1,4,Yes,1008.75,189,1665,1690,491
184,No,Points,Letter,Low,1,No,Medium,2,1,3,No,1128,188,619,1629,2076
185,No,Cash Back,Postcard,High,2,No,Low,2,1,1,Yes,1340.5,2196,1127,1356,683
186,No,Points,Postcard,Low,1,Yes,Low,3,1,3,No,1371,514,1208,1657,2105
187,No,Cash Back,Letter,Medium,1,No,Low,1,2,3,No,1331.25,1043,1530,1700,1052
188,No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,704.5,274,706,818,1020
189,No,Cash Back,Postcard,High,2,No,Low,3,1,3,No,203.25,32,382,240,159
190,No,Air Miles,Postcard,Medium,1,No,Low,3,1,5,No,1007.25,108,1698,1722,501
191,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,874,1206,493,833,964
192,No,Points,Letter,Medium,2,No,High,1,2,4,Yes,1148,1861,1434,967,330
193,No,Air Miles,Letter,High,1,No,Low,3,1,3,Yes,229.25,207,133,403,174
194,No,Points,Postcard,Medium,1,No,High,2,1,3,No,962.75,1405,1256,444,746
195,No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1281.5,765,1147,2116,1098
196,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,1029.5,1274,1451,703,690
197,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,1117,65,1762,1723,918
198,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75,438,762,1014,1977
199,No,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,992.5,115,837,1224,1794
200,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1065.25,1422,895,1356,588
201,No,Points,Postcard,Low,1,No,Low,4,1,3,No,1526,989,1679,2046,1390
202,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1741.75,1757,1599,1907,1704
203,No,Cash Back,Letter,Medium,2,No,High,1,2,3,No,342.5,332,303,390,345
204,No,Air Miles,Letter,Medium,1,No,Medium,3,1,5,No,935.75,302,435,1700,1306
205,No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,1058.5,190,1262,1595,1187
206,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,855,758,959,864,839
207,No,Cash Back,Postcard,Medium,1,No,Medium,1,2,5,No,1263,947,1650,1094,1361
208,No,Cash Back,Letter,Medium,2,No,Medium,1,1,6,Yes,1094.25,1613,1397,918,449
209,No,Air Miles,Postcard,High,1,No,High,2,1,2,No,228.25,370,224,15,304
210,No,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1265,679,1505,1989,887
211,Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034,1720,1070,911,435
212,No,Points,Postcard,Medium,1,No,Low,2,2,2,Yes,1210.25,1395,1731,1184,531
213,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1150.5,1989,1234,885,494
214,No,Points,Postcard,Low,2,No,Medium,2,1,3,Yes,691.5,518,794,512,942
215,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1296.25,338,748,2239,1860
216,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,690.5,507,748,759,748
217,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,1161.25,1958,1001,1254,432
218,No,Cash Back,Letter,Low,1,Yes,Low,3,1,1,Yes,874.25,987,870,963,677
219,No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,1272.75,641,861,1838,1751
220,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,No,677.25,958,553,622,576
221,No,Points,Postcard,Low,1,No,High,1,1,3,No,1022,522,723,1109,1734
222,No,Points,Letter,Medium,1,No,Medium,3,2,3,Yes,1024,1241,975,1112,768
223,No,Air Miles,Letter,Medium,1,No,Medium,2,2,4,No,1163.25,94,1049,1643,1867
224,No,Points,Letter,Medium,1,No,High,4,1,3,Yes,1164.5,829,739,1385,1705
225,No,Air Miles,Letter,Low,1,Yes,Medium,2,1,4,Yes,735.75,593,941,832,577
226,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,1176,242,1241,1655,1566
227,No,Air Miles,Postcard,Medium,1,No,Medium,3,2,5,No,1504.5,929,1050,2232,1807
228,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25,950,948,950,677
229,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5,1302,1545,1396,187
230,No,Air Miles,Letter,Medium,2,No,High,2,1,4,No,129.75,355,79,23,62
231,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,742.25,690,649,837,793
232,No,Cash Back,Postcard,Medium,2,No,High,2,1,3,Yes,1423.25,915,1405,1726,1647
233,No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,Yes,239.25,394,18,415,130
234,No,Points,Postcard,Medium,1,No,High,2,1,3,No,1143.75,1798,1014,866,897
235,No,Air Miles,Postcard,Medium,1,No,High,2,1,5,No,828,878,566,889,979
236,No,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,734,560,806,941,629
237,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,661.25,641,668,537,799
238,No,Points,Postcard,High,1,No,High,1,1,3,Yes,1159.25,50,1437,1807,1343
239,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25,1688,1113,697,87
240,No,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,No,278,410,81,136,485
241,No,Points,Letter,Medium,2,Yes,Medium,3,1,5,No,715.25,855,776,715,515
242,No,Points,Letter,High,2,No,High,2,1,3,No,914.25,1588,1029,722,318
243,No,Points,Letter,High,3,No,Low,1,1,4,Yes,253.25,417,200,368,28
244,No,Cash Back,Letter,Low,1,No,Medium,3,1,4,No,1035.25,1943,1172,541,485
245,No,Air Miles,Letter,Low,2,Yes,Medium,1,1,2,No,1261.75,1316,742,1347,1642
246,No,Points,Postcard,Medium,1,No,Medium,2,1,3,No,275.5,402,258,155,287
247,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,5,No,755.5,874,538,966,644
248,No,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1295.25,1019,1164,1860,1138
249,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5,873,656,1350,899
250,No,Cash Back,Letter,Medium,1,No,High,2,2,2,Yes,1148.25,1901,1486,915,291
251,No,Points,Postcard,Medium,2,No,High,3,1,4,Yes,756,1234,942,629,219
252,No,Air Miles,Postcard,High,2,No,Low,1,1,4,Yes,1486.75,1393,1713,1203,1638
253,No,Points,Postcard,Low,1,Yes,Low,1,1,5,No,1076,731,1226,1447,900
254,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,5,Yes,1094,877,1332,1493,674
255,No,Points,Letter,Low,1,No,Medium,2,1,4,Yes,287.25,265,409,475,0
256,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5,1657,1273,643,93
257,No,Cash Back,Postcard,Low,1,No,Medium,3,1,3,No,1376.75,962,1136,1557,1852
258,No,Points,Postcard,Low,1,No,Low,2,1,4,Yes,683.25,656,664,554,859
259,No,Points,Letter,Medium,1,No,Low,1,1,5,No,979.25,1869,1112,692,244
260,No,Cash Back,Postcard,High,1,No,High,2,2,4,No,913.75,528,690,876,1561
261,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,1000.75,1749,1368,742,144
262,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1107,1769,932,871,856
263,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,762.25,879,530,849,791
264,No,Points,Letter,High,1,No,Medium,2,1,3,Yes,1223.5,2181,1456,522,735
265,No,Air Miles,Postcard,Low,1,No,Medium,2,1,2,Yes,932.5,185,797,1072,1676
266,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,967.75,1503,1148,896,324
267,No,Points,Postcard,Low,2,No,Low,2,1,4,Yes,222.75,391,339,139,22
268,No,Points,Postcard,Medium,2,No,Low,1,2,2,No,1003.75,643,945,945,1482
269,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1221,948,864,1063,2009
270,No,Cash Back,Postcard,High,3,No,Low,1,1,4,Yes,915.5,614,850,1254,944
271,No,Cash Back,Letter,Medium,1,Yes,High,2,1,2,Yes,1266.5,647,1299,2012,1108
272,No,Points,Postcard,High,2,No,Medium,2,1,4,Yes,899.5,1678,1043,705,172
273,No,Cash Back,Postcard,High,1,No,Medium,3,1,2,No,1224.5,1407,1619,1005,867
274,Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,1735.25,1626,1713,1902,1700
275,No,Cash Back,Letter,Medium,2,No,High,1,2,4,Yes,1057.75,1813,830,582,1006
276,No,Points,Letter,Low,1,No,High,4,1,2,Yes,1196.25,1170,423,1581,1611
277,No,Cash Back,Letter,Medium,1,No,Medium,2,2,5,Yes,219.5,452,143,143,140
278,No,Air Miles,Letter,Medium,1,No,High,2,2,3,Yes,1113.25,1622,1426,909,496
279,No,Points,Letter,Medium,2,Yes,High,2,1,4,Yes,969.25,1201,1094,1008,574
280,No,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,823.25,57,977,1520,739
281,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25,621,1533,1357,458
282,No,Cash Back,Postcard,Medium,3,No,Low,2,2,4,No,750.75,584,917,930,572
283,No,Points,Letter,Medium,1,No,High,1,2,4,Yes,1101.75,1535,829,1093,950
284,No,Points,Letter,High,1,No,Low,1,1,5,Yes,1092,1783,1244,923,418
285,No,Points,Letter,Medium,2,No,Medium,3,1,4,Yes,1072,1783,1219,830,456
286,No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,910.25,67,1674,1480,420
287,No,Points,Letter,Medium,1,No,Medium,3,1,5,Yes,884.5,246,726,1213,1353
288,No,Points,Postcard,Low,1,No,Medium,3,1,6,Yes,1007.75,1661,1121,764,485
289,No,Points,Letter,High,2,Yes,High,2,1,3,Yes,1069,1214,1312,1082,668
